TripID,Timestamp,Latitude,Longitude,Origin,Destination,Mode,Speed_kmh,Distance_m,Duration_s,DayOfWeek,Hour,AgeGroup,Gender,Weather
1,2025-08-13 04:53:14,31.969901,35.924745,Cafe,Airport,car,37.51,20992.9,2026,Wednesday,4,<18,M,sunny
2,2025-06-18 21:44:55,31.950852,35.940664,Market,Airport,bus,36.68,24733.6,2374,Wednesday,21,18-24,M,sunny
3,2025-07-11 09:47:19,31.974431,35.921227,Park,University,car,39.55,22628.2,2018,Friday,9,25-34,F,sunny
4,2025-07-06 17:51:38,32.000691,35.935761,Market,Station,walk,4.8,428.2,357,Sunday,17,35-44,F,sunny
5,2025-08-21 22:30:12,31.947975,35.888192,Park,Cafe,walk,3.14,1614.3,1879,Thursday,22,18-24,F,sunny
6,2025-08-16 13:23:47,31.947976,35.951399,Cafe,Airport,car,47.76,24153.5,1845,Saturday,13,25-34,M,sunny
7,2025-09-04 22:50:00,32.002376,35.945036,Hospital,Park,scooter,20.69,3203.4,509,Thursday,22,25-34,M,sunny
8,2025-06-24 11:30:48,31.978023,35.920487,Park,University,walk,6.84,1637.9,812,Tuesday,11,45-54,F,sunny
9,2025-07-24 15:04:36,31.940916,35.964777,Mall,Market,walk,4.29,449.5,402,Thursday,15,25-34,M,cloudy
10,2025-06-19 08:05:15,31.971277,35.973127,Cafe,Park,taxi,31.2,20552.1,2355,Thursday,8,18-24,M,sunny
11,2025-07-06 07:59:00,31.941097,35.896773,Cafe,Hospital,walk,6.3,889.6,551,Sunday,7,25-34,F,cloudy
12,2025-08-01 03:17:34,31.941028,35.922118,Hospital,Station,bus,40.58,5806.5,524,Friday,3,35-44,M,sunny
13,2025-06-19 01:02:35,31.962259,35.921926,Station,Cafe,car,40.17,12802.2,1139,Thursday,1,18-24,M,sunny
14,2025-07-04 13:12:53,31.897602,35.916803,Home,Station,walk,6.06,1218.8,760,Friday,13,25-34,F,sunny
15,2025-08-14 03:28:33,31.903252,35.969884,Home,Station,scooter,18.41,4352.5,866,Thursday,3,<18,F,windy
16,2025-08-04 16:47:56,31.938131,35.939185,Station,University,walk,4.68,531.7,378,Monday,16,<18,M,sunny
17,2025-07-06 11:52:38,31.924615,35.937065,Cafe,Station,car,44.28,16392.0,1342,Sunday,11,25-34,M,sunny
18,2025-08-08 16:32:21,31.964427,35.884884,Work,Home,bike,14.16,4126.0,995,Friday,16,18-24,F,cloudy
19,2025-08-28 12:05:43,31.927759,35.964063,Mall,Park,walk,5.32,313.2,258,Thursday,12,35-44,F,windy
20,2025-06-17 05:45:46,31.912631,35.907822,Airport,Cafe,walk,5.13,1683.7,1170,Tuesday,5,25-34,F,hot
21,2025-08-28 04:17:42,31.998969,35.946798,Airport,Park,walk,3.68,664.6,694,Thursday,4,25-34,M,sunny
22,2025-08-18 11:42:23,31.948227,35.953321,Hospital,Market,walk,5.31,1016.5,695,Monday,11,25-34,M,sunny
23,2025-07-17 06:39:59,31.957026,35.98582,Mall,Station,bus,21.44,22325.4,3741,Thursday,6,25-34,F,cloudy
24,2025-06-30 15:33:40,31.912258,35.905735,Home,Station,car,47.95,20855.5,1573,Monday,15,<18,F,sunny
25,2025-09-10 19:18:20,31.938669,35.854415,Park,Hospital,car,51.03,26214.3,1876,Wednesday,19,45-54,F,cloudy
26,2025-07-16 22:46:11,31.958328,35.950515,Park,Station,car,38.44,14650.0,1422,Wednesday,22,55+,M,rain
27,2025-06-25 00:03:23,31.92047,35.999015,Airport,Station,scooter,28.31,5026.2,698,Wednesday,0,18-24,M,cloudy
28,2025-06-25 08:37:58,31.966271,35.982168,Cafe,Park,scooter,26.51,1686.4,229,Wednesday,8,18-24,M,sunny
29,2025-08-31 22:18:48,31.936981,35.95129,Home,Park,car,42.78,26169.4,2215,Sunday,22,18-24,F,sunny
30,2025-08-09 23:46:25,31.946249,35.930251,Mall,Work,bus,27.92,27608.1,3611,Saturday,23,35-44,F,cloudy
31,2025-08-28 07:07:21,31.936949,35.969214,Cafe,Work,car,50.03,6884.9,465,Thursday,7,35-44,M,sunny
32,2025-08-21 07:56:46,32.010568,35.915794,Market,Park,car,56.86,13419.3,849,Thursday,7,35-44,M,sunny
33,2025-08-03 21:58:41,31.954595,35.959291,Station,Cafe,car,43.58,1538.8,105,Sunday,21,35-44,M,sunny
34,2025-09-12 05:39:20,31.923269,35.960164,Airport,Airport,car,58.84,28653.1,1703,Friday,5,25-34,M,sunny
35,2025-07-20 17:21:35,31.979676,35.976806,Home,Hospital,car,35.23,18877.3,1918,Sunday,17,25-34,F,sunny
36,2025-08-05 08:07:59,31.918375,36.02779,Hospital,Market,car,46.87,27773.9,2188,Tuesday,8,35-44,F,rain
37,2025-08-30 07:14:22,31.961266,35.956772,Park,Airport,taxi,40.07,14231.0,1327,Saturday,7,25-34,M,sunny
38,2025-08-11 07:43:41,31.89621,35.929731,Park,Work,bus,22.61,17587.8,2831,Monday,7,25-34,M,sunny
39,2025-09-02 05:00:44,31.915154,35.944233,Cafe,Station,car,36.1,2846.2,227,Tuesday,5,25-34,F,sunny
40,2025-08-07 14:48:22,31.960906,35.891928,Market,Park,car,50.97,2909.3,209,Thursday,14,25-34,M,sunny
41,2025-08-19 01:36:02,31.977154,35.924159,University,Work,bike,14.69,5888.0,1455,Tuesday,1,25-34,M,windy
42,2025-06-20 18:42:22,31.960141,35.932722,University,Station,walk,4.38,487.1,455,Friday,18,25-34,F,rain
43,2025-07-07 03:59:08,31.951531,35.929277,Home,Home,car,53.58,8400.9,570,Monday,3,35-44,F,sunny
44,2025-07-12 16:48:12,31.945967,35.949571,Mall,University,car,50.63,18416.2,1351,Saturday,16,25-34,F,cloudy
45,2025-06-23 20:04:34,31.910644,35.920327,Mall,Station,walk,4.58,739.8,594,Monday,20,25-34,M,sunny
46,2025-07-07 14:33:13,31.933405,35.978631,Mall,Airport,bus,45.58,25527.8,2042,Monday,14,35-44,M,hot
47,2025-06-25 17:53:19,31.941181,35.945006,Work,Mall,car,39.44,12360.3,1147,Wednesday,17,25-34,M,sunny
48,2025-07-11 16:08:54,31.986714,35.944721,University,Station,car,43.63,14463.7,1151,Friday,16,18-24,M,sunny
49,2025-08-12 20:48:14,31.965309,35.935163,Cafe,Cafe,walk,5.12,724.5,464,Tuesday,20,<18,F,sunny
50,2025-07-19 11:45:46,31.902109,35.949656,Airport,Mall,walk,4.05,330.7,329,Saturday,11,25-34,M,rain
51,2025-07-19 23:18:59,31.964723,35.969753,Park,Home,bus,28.93,17267.8,2145,Saturday,23,25-34,F,sunny
52,2025-07-05 12:15:38,31.943448,35.918986,Park,Cafe,car,39.91,4066.3,328,Saturday,12,55+,M,cloudy
53,2025-07-10 16:23:51,31.934692,35.925257,Airport,Cafe,taxi,22.43,15313.7,2418,Thursday,16,25-34,M,sunny
54,2025-09-08 22:53:58,31.97335,35.935888,Park,Home,taxi,43.11,13662.3,1107,Monday,22,25-34,F,windy
55,2025-08-13 23:28:55,31.98593,35.904624,Market,Work,car,49.19,4668.2,384,Wednesday,23,18-24,M,sunny
56,2025-08-10 11:26:54,31.982938,35.920422,University,Hospital,bike,11.82,898.0,237,Sunday,11,18-24,M,windy
57,2025-07-02 01:23:06,31.929823,35.930713,University,Home,bus,35.73,20944.0,2066,Wednesday,1,35-44,M,sunny
58,2025-08-21 06:38:21,31.945724,35.971232,Work,Airport,taxi,51.56,14565.9,962,Thursday,6,18-24,M,sunny
59,2025-07-01 08:40:29,31.964938,35.952877,Market,Mall,car,11.24,12393.9,3963,Tuesday,8,25-34,M,hot
